Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.57,4.86486591398716E-02,7.98950642347336E-02,-1.88235042151064E-03
0.572,4.89658340811729E-02,8.07230025529861E-02,-1.89509172923863E-03
0.574,4.92837801575661E-02,8.15564915537834E-02,-1.90786935854703E-03
0.576,4.96024936437607E-02,8.23955833911896E-02,-1.92068354226649E-03
0.578,4.99219559133053E-02,8.32401886582375E-02,-1.9335332326591E-03
0.58,5.02421781420708E-02,8.40904265642166E-02,-1.94641901180148E-03
0.582,5.05631342530251E-02,8.49462300539017E-02,-1.95933971554041E-03
0.584,5.08848540484905E-02,8.58076959848404E-02,-1.97229697369039E-03
0.586,5.12072965502739E-02,8.66747498512268E-02,-1.98528869077563E-03
0.588,0.051530484110117,8.75474438071251E-02,-1.99824688024819E-03
0.59,5.18544055521488E-02,0.088425874710083,-2.01137829571962E-03
0.592,5.21790534257889E-02,8.93099382519722E-02,-2.02447618357837E-03
0.594,0.052504438906908,9.01997461915016E-02,-2.03760922886431E-03
0.596,5.28305470943451E-02,9.10952240228653E-02,-2.05077673308551E-03
0.598,5.31573742628098E-02,9.19964611530304E-02,-2.06397962756455E-03
0.6,5.34849017858505E-02,9.29034054279327E-02,-2.07721628248692E-03
0.602,5.38131631910801E-02,9.38161686062813E-02,-2.09048832766712E-03
0.604,5.41421137750149E-02,9.47346538305283E-02,-2.10379413329065E-03
0.606,5.44717721641064E-02,9.56589207053185E-02,-2.11713439784944E-03
0.608,5.48021458089352E-02,0.096589021384716,-2.13050912134349E-03
0.61,5.51332049071789E-02,9.75249335169792E-02,-2.14391830377281E-03
0.612,0.055464968085289,9.84667092561722E-02,-2.15736147947609E-03
0.614,5.57974055409431E-02,9.94142964482307E-02,-2.17083794996142E-03
0.616,5.61305396258831E-02,0.100367769598961,-2.18434818089008E-03
0.618,5.64643405377865E-02,0.101327106356621,-2.19789217226207E-03
0.62,5.67988269031048E-02,0.102292336523533,-2.2114694584161E-03
0.622,5.71339949965477E-02,0.103263512253761,-2.22508073784411E-03
0.624,5.74698261916637E-02,0.104240573942661,-2.23872507922351E-03
0.626,5.78063316643238E-02,0.105223603546619,-2.2524029482156E-03
0.628,5.81434853374958E-02,0.106212571263313,-2.26611318066716E-03
0.63,5.84813244640827E-02,0.107207551598549,-2.27985717356205E-03
0.632,5.88197894394398E-02,0.108208447694778,-2.29363329708576E-03
0.634,5.91589137911797E-02,0.109215348958969,-2.30744224973023E-03
0.636,5.94986826181412E-02,0.110228292644024,-2.32128379866481E-03
0.638,5.98390996456146E-02,0.11124724894762,-2.3351579438895E-03
0.64,6.01801611483097E-02,0.112272292375565,-2.34906491823494E-03
0.642,6.05218484997749E-02,0.113303326070309,-2.36300355754793E-03
0.644,6.08641691505909E-02,0.114340476691723,-2.37697432748973E-03
0.646,6.12071193754673E-02,0.115383692085743,-2.39097699522972E-03
0.648,6.15506917238235E-02,0.116433009505272,-2.40501179359853E-03
0.65,0.061894878745079,0.117488443851471,-2.41907802410424E-03
0.652,6.22396804392338E-02,0.118550010025501,-2.43317615240812E-03
0.654,6.25851005315781E-02,0.119617730379105,-2.44730594567955E-03
0.656,0.062931127846241,0.12069159001112,-2.46146670542657E-03
0.658,6.32777661085129E-02,0.121771641075611,-2.47565936297178E-03
0.66,6.36249780654907E-02,0.122857838869095,-2.48988252133131E-03
0.662,6.39728158712387E-02,0.123950302600861,-2.50413711182773E-03
0.664,6.43212124705315E-02,0.125048905611038,-2.51842173747718E-03
0.666,6.46702125668526E-02,0.126153737306595,-2.53273756243289E-03
0.668,6.50198087096214E-02,0.127264887094498,-2.54708481952548E-03
0.67,6.53699561953545E-02,0.128382205963135,-2.56146141327918E-03
0.672,6.57206997275352E-02,0.129505887627602,-2.57586920633912E-03
0.674,6.60719946026802E-02,0.130635753273964,-2.59030633606017E-03
0.676,6.64238780736923E-02,0.131771996617317,-2.60477466508746E-03
0.678,6.67763128876686E-02,0.132914513349533,-2.61927209794521E-03
0.68,6.71293064951897E-02,0.134063333272934,-0.002633799565956
0.682,6.74828439950943E-02,0.135218530893326,-2.64835706911981E-03
0.684,6.78369402885437E-02,0.136380046606064,-2.66294390894473E-03
0.686,6.81915953755379E-02,0.137547984719276,-2.67756101675332E-03
0.688,6.85467720031738E-02,0.138722270727158,-2.69220629706979E-03
0.69,6.89024925231934E-02,0.139902919530869,-2.70688137970865E-03
0.692,6.92587494850159E-02,0.141089975833893,-2.72158556617796E-03
0.694,6.96155279874802E-02,0.142283484339714,-2.73631839081645E-03
0.696,6.99728354811668E-02,0.14348341524601,-2.75108008645475E-03
0.698,7.03306645154953E-02,0.144689828157425,-2.76584853418171E-03
0.7,7.06890076398849E-02,0.145902663469315,-2.78066750615835E-03
0.702,7.10478499531746E-02,0.147121950984001,-2.79551418498158E-03
0.704,7.14072436094284E-02,0.148347795009613,-2.81039089895785E-03
0.706,7.17670917510986E-02,0.149580061435699,-2.82529415562749E-03
