Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
26.9,-1.53259024955332E-04,-8.97053178050555E-05,9.21125247259624E-05
27,-1.53021668666042E-04,-8.81180021679029E-05,9.05346823856235E-05
27.1,-1.45786383654922E-04,-8.60415166243911E-05,8.85621993802488E-05
27.2,-1.31017630337738E-04,-8.41026776470244E-05,8.67804556037299E-05
27.3,-1.09441985841841E-04,-8.29517230158672E-05,8.57938139233738E-05
27.4,-8.29714990686625E-05,-8.31534925964661E-05,8.61257285578176E-05
27.5,-5.44177455594763E-05,-8.50875294418074E-05,8.81264422787353E-05
27.6,-2.7062278604717E-05,-8.88812865014188E-05,9.19116064324044E-05
27.7,-4.14712530982797E-06,-9.43812119658105E-05,9.73351634456776E-05
27.8,1.16502169476007E-05,-1.01172568975016E-04,1.04006874607876E-04
27.9,1.86347642738838E-05,-1.08638669189531E-04,1.11345667392015E-04
28,1.63727981998818E-05,-1.16058370622341E-04,1.18669406219851E-04
28.1,5.76051024836488E-06,-1.22715704492293E-04,1.25295075122267E-04
28.2,-1.11184835986933E-05,-1.2801299453713E-04,1.30644722958095E-04
28.3,-3.13177806674503E-05,-1.31562890601344E-04,1.34332149173133E-04
28.4,-5.15031169925351E-05,-1.33246561745182E-04,1.36218848638237E-04
28.5,-6.84695551171899E-05,-1.33227367768995E-04,1.36431059218012E-04
28.6,-7.96419626567513E-05,-1.3192008191254E-04,1.3533397577703E-04
28.7,-8.34642996778712E-05,-1.29917461890727E-04,1.33460707729682E-04
28.8,-7.96166423242539E-05,-1.2788908497896E-04,1.31449909531511E-04
28.9,-6.90304004820064E-05,-1.26469749375246E-04,1.29896870930679E-04
29,-5.36868465133011E-05,-1.26152517623268E-04,1.29285690491088E-04
29.1,-3.62595492333639E-05,-1.27209597849287E-04,1.2991891708225E-04
29.2,-1.96247819985729E-05,-1.29649342852645E-04,1.31809443701059E-04
29.3,-6.36488221061882E-06,-1.33218534756452E-04,1.34774862090126E-04
29.4,1.69433917562856E-06,-1.37451046612114E-04,1.38410774525255E-04
29.5,3.8009122818039E-06,-1.4175137039274E-04,1.42180753755383E-04
