*Time (s),Line A (?)
886,-1.55E-03
887,-7.32E-04
888,1.52E-04
889,8.95E-04
890,1.37E-03
891,1.56E-03
892,1.54E-03
893,1.41E-03
894,1.27E-03
895,1.17E-03
896,1.15E-03
897,1.22E-03
898,1.36E-03
899,1.56E-03
900,1.77E-03
901,1.95E-03
902,2.08E-03
903,2.11E-03
904,2.02E-03
905,1.80E-03
906,1.46E-03
907,1.02E-03
908,5.36E-04
909,5.14E-05
910,-3.76E-04
911,-6.92E-04
912,-8.50E-04
913,-8.20E-04
914,-6.05E-04
915,-2.60E-04
916,1.06E-04
917,3.60E-04
918,4.08E-04
919,2.52E-04
920,-2.24E-05
921,-2.97E-04
922,-4.70E-04
923,-4.91E-04
924,-3.55E-04
925,-9.71E-05
926,2.29E-04
927,5.50E-04
928,7.88E-04
929,8.75E-04
930,7.71E-04
931,4.75E-04
932,2.54E-05
933,-5.12E-04
934,-1.06E-03
935,-1.55E-03
936,-1.92E-03
937,-2.12E-03
938,-2.10E-03
939,-1.85E-03
940,-1.44E-03
941,-0.001014553
942,-7.59E-04
943,-7.85E-04
944,-1.05E-03
945,-1.41E-03
946,-1.65E-03
947,-1.62E-03
948,-1.26E-03
949,-5.97E-04
950,2.41E-04
951,1.07E-03
952,1.72E-03
953,2.09E-03
954,2.17E-03
955,2.02E-03
956,1.75E-03
957,1.44E-03
958,1.17E-03
959,9.71E-04
960,8.61E-04
961,8.39E-04
962,8.95E-04
963,1.01E-03
964,1.16E-03
965,1.33E-03
966,1.48E-03
967,1.57E-03
968,1.56E-03
969,1.39E-03
970,1.06E-03
971,5.64E-04
972,-3.27E-05
973,-6.54E-04
974,-1.21E-03
975,-1.61E-03
976,-1.76E-03
977,-1.59E-03
978,-1.09E-03
979,-3.47E-04
980,4.32E-04
981,1.01E-03
982,1.23E-03
983,1.08E-03
984,6.55E-04
985,1.03E-04
986,-4.34E-04
987,-8.46E-04
988,-1.06E-03
989,-1.02E-03
990,-7.32E-04
991,-2.30E-04
992,3.81E-04
993,9.56E-04
994,1.35E-03
995,1.43E-03
996,1.15E-03
997,4.87E-04
998,-4.73E-04
999,-1.61E-03
1000,-2.72E-03
1001,-3.54E-03
1002,-3.80E-03
1003,-3.28E-03
1004,-2.02E-03
1005,-4.00E-04
1006,1.02E-03
1007,1.78E-03
1008,1.73E-03
1009,1.00E-03
1010,-8.11E-05
1011,-1.17E-03
1012,-1.95E-03
1013,-2.24E-03
1014,-1.94E-03
1015,-1.09E-03
1016,1.29E-04
1017,1.47E-03
1018,2.68E-03
1019,3.58E-03
1020,4.05E-03
1021,4.08E-03
1022,3.69E-03
1023,2.97E-03
1024,1.98E-03
1025,8.38E-04
1026,-3.44E-04
1027,-1.42E-03
1028,-2.24E-03
1029,-2.64E-03
1030,-2.49E-03
1031,-1.77E-03
1032,-6.05E-04
1033,7.30E-04
1034,1.86E-03
1035,2.42E-03
1036,2.26E-03
1037,1.42E-03
1038,1.30E-04
1039,-1.30E-03
1040,-2.54E-03
1041,-3.27E-03
1042,-3.28E-03
1043,-2.51E-03
1044,-1.13E-03
1045,4.66E-04
1046,1.83E-03
1047,2.62E-03
1048,2.71E-03
1049,2.16E-03
1050,1.16E-03
1051,-5.51E-05
1052,-1.27E-03
1053,-2.28E-03
1054,-2.88E-03
1055,-2.92E-03
1056,-2.33E-03
1057,-1.21E-03
1058,1.65E-04
1059,1.43E-03
1060,2.19E-03
1061,2.27E-03
1062,1.66E-03
1063,5.70E-04
1064,-7.40E-04
1065,-1.99E-03
1066,-2.94E-03
1067,-3.34E-03
1068,-3.05E-03
1069,-2.04E-03
1070,-5.45E-04
1071,1.01E-03
1072,2.15E-03
1073,2.57E-03
1074,2.30E-03
1075,0.001572375
1076,6.97E-04
1077,-7.78E-05
1078,-6.16E-04
1079,-8.64E-04
1080,-8.19E-04
1081,-5.06E-04
1082,1.94E-05
1083,6.72E-04
1084,1.34E-03
1085,1.87E-03
1086,2.16E-03
1087,0.002080746
1088,1.63E-03
1089,8.72E-04
1090,-2.53E-05
1091,-8.84E-04
1092,-1.55E-03
1093,-1.93E-03
1094,-1.97E-03
1095,-1.66E-03
1096,-1.02E-03
1097,-1.54E-04
1098,7.10E-04
1099,1.25E-03
1100,1.21E-03
1101,6.14E-04
1102,-2.97E-04
1103,-1.18E-03
1104,-1.77E-03
1105,-1.96E-03
1106,-1.80E-03
1107,-1.38E-03
1108,-7.87E-04
1109,-1.07E-04
1110,5.76E-04
1111,1.15E-03
1112,1.44E-03
1113,1.30E-03
1114,7.19E-04
1115,-1.41E-04
1116,-9.81E-04
1117,-1.53E-03
1118,-1.66E-03
1119,-1.40E-03
1120,-8.52E-04
1121,-1.77E-04
1122,4.97E-04
1123,1.06E-03
1124,1.41E-03
1125,1.47E-03
1126,1.19E-03
1127,6.00E-04
1128,-1.73E-04
1129,-9.28E-04
1130,-1.46E-03
1131,-1.63E-03
1132,-1.42E-03
1133,-8.78E-04
1134,-1.29E-04
1135,7.01E-04
1136,1.47E-03
1137,2.01E-03
1138,2.17E-03
1139,1.87E-03
1140,1.17E-03
1141,2.54E-04
1142,-6.27E-04
1143,-1.25E-03
1144,-1.50E-03
1145,-1.35E-03
1146,-9.09E-04
1147,-2.96E-04
1148,3.34E-04
1149,8.47E-04
1150,1.18E-03
1151,1.31E-03
1152,1.29E-03
1153,1.14E-03
1154,8.32E-04
1155,3.48E-04
1156,-2.67E-04
1157,-8.70E-04
1158,-1.31E-03
1159,-1.48E-03
1160,-1.39E-03
1161,-1.10E-03
1162,-6.86E-04
1163,-2.08E-04
1164,2.72E-04
1165,6.87E-04
1166,9.64E-04
1167,1.05E-03
1168,9.13E-04
1169,5.78E-04
1170,8.91E-05
1171,-4.86E-04
1172,-1.07E-03
1173,-1.60E-03
1174,-1.96E-03
1175,-2.08E-03
1176,-1.85E-03
1177,-1.26E-03
1178,-4.09E-04
1179,4.90E-04
1180,1.19E-03
1181,1.52E-03
1182,1.42E-03
1183,9.40E-04
1184,2.14E-04
1185,-6.06E-04
1186,-1.36E-03
1187,-1.91E-03
1188,-2.12E-03
1189,-1.92E-03
1190,-1.32E-03
1191,-4.04E-04
1192,6.51E-04
1193,1.65E-03
1194,2.40E-03
1195,2.79E-03
1196,2.79E-03
1197,2.43E-03
1198,1.82E-03
1199,1.06E-03
1200,2.75E-04
1201,-4.15E-04
1202,-9.12E-04
1203,-1.15E-03
1204,-1.11E-03
1205,-7.93E-04
1206,-2.82E-04
1207,3.18E-04
1208,8.75E-04
1209,1.25E-03
1210,1.34E-03
1211,1.09E-03
1212,5.16E-04
1213,-2.84E-04
1214,-1.14E-03
1215,-1.83E-03
1216,-2.16E-03
1217,-2.02E-03
1218,-1.40E-03
1219,-4.62E-04
1220,5.54E-04
1221,1.40E-03
1222,1.90E-03
1223,1.97E-03
1224,1.64E-03
1225,1.01E-03
1226,2.22E-04
1227,-5.78E-04
1228,-1.25E-03
1229,-1.67E-03
1230,-1.78E-03
1231,-1.57E-03
1232,-1.10E-03
1233,-4.64E-04
1234,1.83E-04
1235,7.00E-04
1236,9.57E-04
1237,8.85E-04
1238,4.92E-04
1239,-1.38E-04
1240,-8.48E-04
1241,-1.46E-03
1242,-1.80E-03
1243,-1.78E-03
1244,-1.43E-03
1245,-8.48E-04
1246,-2.14E-04
1247,2.90E-04
1248,5.42E-04
1249,4.94E-04
1250,2.00E-04
1251,-2.21E-04
1252,-6.16E-04
1253,-8.48E-04
1254,-8.22E-04
1255,-5.23E-04
1256,7.63E-06
1257,6.69E-04
1258,1.35E-03
1259,1.93E-03
1260,2.33E-03
1261,2.50E-03
1262,2.43E-03
1263,2.14E-03
